Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
ES,*,*,0.5100,27.9000
ES,*,*,1.0100,30.9000
ES,*,*,1.5100,33.9000
ES,*,*,2.0100,36.9000
ES,*,*,2.5100,39.9000
ES,*,*,3.0100,42.9000
ES,*,*,3.5100,45.9000
ES,*,*,4.0100,48.9000
ES,*,*,4.5100,51.9000
ES,*,*,5.0100,54.9000
ES,*,*,5.5100,57.9000
ES,*,*,6.0100,60.9000
ES,*,*,6.5100,63.9000
ES,*,*,7.0100,66.9000
ES,*,*,7.5100,69.9000
ES,*,*,8.0100,72.9000
ES,*,*,8.5100,75.9000
ES,*,*,9.0100,78.9000
FR,*,*,0.0000,19.9000
FR,*,*,0.5100,22.9000
FR,*,*,1.0100,25.9000
FR,*,*,1.5100,28.9000
FR,*,*,2.0100,31.9000
FR,*,*,2.5100,34.9000
FR,*,*,3.0100,37.9000
FR,*,*,3.5100,40.9000
FR,*,*,4.0100,43.9000
FR,*,*,4.5100,46.9000
FR,*,*,5.0100,49.9000
FR,*,*,5.5100,52.9000
FR,*,*,6.0100,55.9000
FR,*,*,6.5100,58.9000
FR,*,*,7.0100,61.9000
FR,*,*,7.5100,64.9000
FR,*,*,8.0100,67.9000
FR,*,*,8.5100,70.9000
FR,*,*,9.0100,73.9000
GB,*,*,0.0000,19.9000
GB,*,*,0.5100,22.9000
GB,*,*,1.0100,25.9000
GB,*,*,1.5100,28.9000
GB,*,*,2.0100,31.9000
GB,*,*,2.5100,34.9000
GB,*,*,3.0100,37.9000
GB,*,*,3.5100,40.9000
GB,*,*,4.0100,43.9000
GB,*,*,4.5100,46.9000
GB,*,*,5.0100,49.9000
GB,*,*,5.5100,52.9000
GB,*,*,6.0100,55.9000
GB,*,*,6.5100,58.9000
GB,*,*,7.0100,61.9000
GB,*,*,7.5100,64.9000
GB,*,*,8.0100,67.9000
GB,*,*,8.5100,70.9000
GB,*,*,9.0100,73.9000
IR,*,*,0.0000,19.9000
IR,*,*,0.5100,22.9000
IR,*,*,1.0100,25.9000
IR,*,*,1.5100,28.9000
IR,*,*,2.0100,31.9000
IR,*,*,2.5100,34.9000
IR,*,*,3.0100,37.9000
IR,*,*,3.5100,40.9000
IR,*,*,4.0100,43.9000
IR,*,*,4.5100,46.9000
IR,*,*,5.0100,49.9000
IR,*,*,5.5100,52.9000
IR,*,*,6.0100,55.9000
IR,*,*,6.5100,58.9000
IR,*,*,7.0100,61.9000
IR,*,*,7.5100,64.9000
IR,*,*,8.0100,67.9000
IR,*,*,8.5100,70.9000
IR,*,*,9.0100,73.9000
IT,*,*,0.0000,19.9000
IT,*,*,0.5100,22.9000
IT,*,*,1.0100,25.9000
IT,*,*,1.5100,28.9000
IT,*,*,2.0100,31.9000
IT,*,*,2.5100,34.9000
IT,*,*,3.0100,37.9000
IT,*,*,3.5100,40.9000
IT,*,*,4.0100,43.9000
IT,*,*,4.5100,46.9000
IT,*,*,5.0100,49.9000
IT,*,*,5.5100,52.9000
IT,*,*,6.0100,55.9000
IT,*,*,6.5100,58.9000
IT,*,*,7.0100,61.9000
IT,*,*,7.5100,64.9000
IT,*,*,8.0100,67.9000
IT,*,*,8.5100,70.9000
IT,*,*,9.0100,73.9000
KO,*,*,0.0000,19.9000
KO,*,*,0.5100,22.9000
KO,*,*,1.0100,25.9000
KO,*,*,1.5100,28.9000
KO,*,*,2.0100,31.9000
KO,*,*,2.5100,34.9000
KO,*,*,3.0100,37.9000
KO,*,*,3.5100,40.9000
KO,*,*,4.0100,43.9000
KO,*,*,4.5100,46.9000
KO,*,*,5.0100,49.9000
KO,*,*,5.5100,52.9000
KO,*,*,6.0100,55.9000
KO,*,*,6.5100,58.9000
KO,*,*,7.0100,61.9000
KO,*,*,7.5100,64.9000
KO,*,*,8.0100,67.9000
KO,*,*,8.5100,70.9000
KO,*,*,9.0100,73.9000
RE,*,*,0.0000,29.9000
RE,*,*,0.5100,32.9000
RE,*,*,1.0100,35.9000
RE,*,*,1.5100,38.9000
RE,*,*,2.0100,41.9000
RE,*,*,2.5100,44.9000
RE,*,*,3.0100,47.9000
RE,*,*,3.5100,50.9000
RE,*,*,4.0100,53.9000
RE,*,*,4.5100,56.9000
RE,*,*,5.0100,59.9000
RE,*,*,5.5100,62.9000
RE,*,*,6.0100,65.9000
RE,*,*,6.5100,68.9000
RE,*,*,7.0100,71.9000
RE,*,*,7.5100,74.9000
RE,*,*,8.0100,77.9000
RE,*,*,8.5100,80.9000
RE,*,*,9.0100,83.9000
US,*,*,0.0000,19.9000
US,*,*,0.5100,22.9000
US,*,*,1.0100,25.9000
US,*,*,1.5100,28.9000
US,*,*,2.0100,31.9000
US,*,*,2.5100,34.9000
US,*,*,3.0100,37.9000
US,*,*,3.5100,40.9000
US,*,*,4.0100,43.9000
US,*,*,4.5100,46.9000
US,*,*,5.0100,49.9000
US,*,*,5.5100,52.9000
US,*,*,6.0100,55.9000
US,*,*,6.5100,58.9000
US,*,*,7.0100,61.9000
US,*,*,7.5100,64.9000
US,*,*,8.0100,67.9000
US,*,*,8.5100,70.9000
US,*,*,9.0100,73.9000
